old_url,new_url,clicks_3mo,impressions_3mo,position
/moving-solutions-blog/,/guides,0,11,14.64
/disposal-services/household-items-disposal-services/,/disposal,0,10,6.9
/packing/,/packing,0,9,6.0
/storing/,/storage,0,8,3.12
/moving-collectibles-and-hobby-items-heres-how-we-pack-them-safely/,/packing,0,7,6.71
/moving/,/house-moving,0,6,4.83
/author/nicole/,/guides,0,5,8.4
/do-you-need-storage-during-your-move-5-situations-where-it-helps/,/storage,0,4,44.5
/short-term-housing-in-singapore-what-to-do-with-your-belongings-between-moves/,/storage,0,4,56.75
/planning-a-move-in-singapore-lets-talk-before-moving-day/,/house-moving,0,3,8.33
/category/uncategorized/page/3/,/guides,0,2,26.0
/how-big-is-a-10ft-vs-14ft-lorry-a-simple-guide-for-next-move/,/guides/lorry-sizes,0,1,1.0
/disposal/,/disposal,0,1,3.0
/author/nicole/page/2/,/guides,0,1,5.0
/hello-world/,/guides,0,1,7.0
